Famille;Catégorie;sous-catégorie;matière première;Nb établ.;k tonnes;%
Minéraux et sels minéraux;;;Phosphates;234;81,4;0,4
Minéraux et sels minéraux;;;Carbonates de calcium;240;388,8;1,8
Minéraux et sels minéraux;;;Sel;233;62,8;0,3
Minéraux et sels minéraux;;;Magnésie, sels de magnésie;105;3;0
Minéraux et sels minéraux;;;Bicarbonate de sodium;193;15;0,1
Minéraux et sels minéraux;;;Autres;61;11,4;0,1
;;;;;;
Produits divers;;;;110;110,4;0,5
Produits divers;;;Foins et pailles;62;35,3;0,2
Produits divers;;;Autres;67;75,1;0,3
